iter	Passed	Remaining
0	433	216138
1	755	188121
2	1061	175929
3	1380	171218
4	1689	167284
5	2021	166443
6	2315	163094
7	2570	158073
8	2852	155622
9	3111	152485
10	3397	151035
11	3679	149642
12	3971	148760
13	4238	147126
14	4513	145949
15	4795	145054
16	5069	144037
17	5330	142737
18	5597	141697
19	5852	140455
20	6117	139533
21	6381	138651
22	6646	137834
23	6904	136948
24	7186	136541
25	7470	136192
26	7753	135828
27	8011	135046
28	8266	134252
29	8536	133733
30	8790	132987
31	9084	132867
32	9372	132637
33	9649	132258
34	9909	131649
35	10179	131199
36	10478	131120
37	10750	130704
38	11042	130533
39	11330	130298
40	11610	129980
41	11891	129674
42	12153	129163
43	12426	128784
44	12707	128487
45	12962	127932
46	13246	127671
47	13519	127312
48	13809	127102
49	14064	126577
50	14340	126253
51	14629	126036
52	14918	125821
53	15198	125526
54	15452	125023
55	15744	124833
56	15996	124325
57	16273	124012
58	16537	123612
59	16818	123332
60	17096	123041
61	17357	122623
62	17611	122162
63	17856	121650
64	18111	121209
65	18364	120760
66	18623	120360
67	18879	119938
68	19136	119535
69	19388	119103
70	19641	118678
71	19888	118227
72	20142	117817
73	20402	117454
74	20655	117048
75	20897	116585
76	21162	116257
77	21412	115844
78	21654	115399
79	21924	115105
80	22173	114699
81	22434	114360
82	22689	113993
83	22940	113609
84	23190	113222
85	23436	112824
86	23686	112443
87	23941	112091
88	24190	111710
89	24434	111314
90	24685	110947
91	24923	110529
92	25175	110175
93	25413	109766
94	25670	109437
95	25917	109071
96	26155	108665
97	26410	108335
98	26670	108030
99	26934	107737
100	27189	107410
101	27444	107086
102	27697	106755
103	27956	106449
104	28209	106121
105	28486	105885
106	28755	105615
107	29009	105293
108	29267	104987
109	29518	104656
110	29776	104353
111	30027	104023
112	30281	103707
113	30530	103375
114	30777	103036
115	31046	102773
116	31306	102481
117	31563	102181
118	31835	101927
119	32093	101628
120	32343	101305
121	32586	100964
122	32836	100644
123	33090	100339
124	33340	100020
125	33568	99640
126	33812	99308
127	34074	99029
128	34312	98682
129	34567	98385
130	34810	98053
131	35066	97761
132	35321	97466
133	35579	97178
134	35846	96917
135	36109	96645
136	36358	96335
137	36590	95982
138	36831	95657
139	37090	95375
140	37337	95066
141	37581	94747
142	37828	94437
143	38078	94137
144	38329	93841
145	38592	93574
146	38856	93309
147	39109	93017
148	39361	92723
149	39606	92414
150	39860	92127
151	40106	91822
152	40341	91493
153	40575	91163
154	40811	90838
155	41044	90508
156	41327	90288
157	41584	90012
158	41850	89754
159	42125	89516
160	42375	89225
161	42606	88894
162	42847	88587
163	43083	88268
164	43325	87963
165	43563	87651
166	43804	87345
167	44061	87073
168	44303	86771
169	44541	86463
170	44784	86163
171	45020	85853
172	45257	85544
173	45502	85252
174	45730	84927
175	45978	84642
176	46237	84376
177	46471	84066
178	46709	83764
179	46965	83493
180	47222	83225
181	47461	82926
182	47710	82645
183	47973	82388
184	48232	82125
185	48493	81866
186	48734	81571
187	48992	81306
188	49243	81030
189	49493	80752
190	49752	80489
191	50015	80233
192	50265	79956
193	50516	79681
194	50781	79427
195	51049	79179
196	51319	78933
197	51565	78650
198	51817	78376
199	52079	78118
200	52334	77850
201	52599	77597
202	52853	77328
203	53123	77080
204	53371	76802
205	53651	76570
206	53891	76281
207	54141	76006
208	54405	75750
209	54660	75483
210	54905	75201
211	55153	74925
212	55408	74658
213	55672	74403
214	55928	74137
215	56177	73863
216	56429	73592
217	56699	73345
218	56960	73086
219	57228	72835
220	57483	72569
221	57722	72283
222	57957	71991
223	58203	71714
224	58470	71464
225	58730	71204
226	58978	70929
227	59232	70662
228	59471	70379
229	59711	70095
230	59955	69818
231	60199	69540
232	60445	69265
233	60701	69003
234	60944	68725
235	61207	68468
236	61462	68205
237	61707	67929
238	61969	67673
239	62215	67400
240	62467	67133
241	62719	66866
242	62964	66592
243	63200	66308
244	63446	66035
245	63694	65766
246	63961	65515
247	64239	65275
248	64518	65036
249	64766	64766
250	65008	64490
251	65277	64241
252	65529	63975
253	65785	63713
254	66029	63439
255	66286	63179
256	66585	62958
257	66848	62703
258	67112	62448
259	67352	62171
260	67592	61895
261	67844	61629
262	68096	61364
263	68349	61099
264	68594	60828
265	68871	60585
266	69144	60339
267	69384	60064
268	69641	59803
269	69887	59533
270	70136	59267
271	70402	59013
272	70672	58764
273	70948	58519
274	71226	58276
275	71514	58041
276	71760	57771
277	72026	57517
278	72277	57251
279	72527	56986
280	72787	56727
281	73059	56478
282	73326	56225
283	73599	55977
284	73860	55719
285	74115	55456
286	74365	55191
287	74634	54939
288	74880	54670
289	75159	54425
290	75410	54160
291	75658	53893
292	75907	53627
293	76149	53356
294	76412	53100
295	76663	52835
296	76905	52565
297	77161	52304
298	77431	52052
299	77669	51779
300	77915	51512
301	78181	51258
302	78436	50996
303	78680	50728
304	78944	50472
305	79232	50232
306	79499	49978
307	79755	49717
308	80009	49456
309	80264	49194
310	80554	48954
311	80875	48732
312	81161	48489
313	81426	48233
314	81708	47987
315	81968	47728
316	82230	47470
317	82486	47209
318	82730	46941
319	82976	46674
320	83214	46403
321	83465	46139
322	83727	45881
323	84006	45633
324	84285	45384
325	84542	45124
326	84812	44870
327	85074	44612
328	85334	44353
329	85594	44094
330	85851	43833
331	86095	43566
332	86365	43312
333	86619	43050
334	86883	42793
335	87160	42542
336	87400	42273
337	87668	42018
338	87946	41767
339	88223	41517
340	88495	41263
341	88764	41008
342	89028	40750
343	89287	40490
344	89571	40242
345	89844	39988
346	90106	39729
347	90375	39474
348	90623	39209
349	90878	38947
350	91141	38689
351	91408	38433
352	91662	38171
353	91943	37920
354	92197	37658
355	92491	37412
356	92764	37157
357	93036	36902
358	93314	36649
359	93569	36388
360	93839	36132
361	94094	35870
362	94361	35613
363	94631	35356
364	94928	35110
365	95179	34847
366	95434	34585
367	95692	34324
368	95965	34068
369	96222	33807
370	96489	33550
371	96752	33291
372	96996	33025
373	97265	32768
374	97551	32517
375	97826	32262
376	98098	32005
377	98370	31749
378	98643	31493
379	98915	31236
380	99217	30989
381	99491	30732
382	99775	30479
383	100049	30223
384	100298	29959
385	100577	29704
386	100835	29442
387	101106	29185
388	101384	28929
389	101654	28671
390	101923	28413
391	102192	28155
392	102471	27899
393	102762	27646
394	103063	27396
395	103324	27135
396	103579	26873
397	103851	26615
398	104112	26354
399	104381	26095
400	104660	25838
401	104965	25588
402	105221	25326
403	105493	25067
404	105739	24803
405	105990	24539
406	106256	24279
407	106511	24017
408	106758	23753
409	107021	23492
410	107293	23233
411	107533	22968
412	107788	22706
413	108058	22447
414	108334	22189
415	108604	21929
416	108869	21669
417	109136	21409
418	109417	21152
419	109704	20896
420	109961	20634
421	110211	20370
422	110469	20109
423	110745	19850
424	111011	19590
425	111267	19328
426	111546	19069
427	111795	18806
428	112028	18540
429	112303	18281
430	112558	18019
431	112829	17760
432	113115	17502
433	113414	17247
434	113672	16985
435	113919	16722
436	114203	16464
437	114512	16209
438	114790	15950
439	115068	15691
440	115343	15431
441	115621	15172
442	115879	14910
443	116159	14650
444	116421	14389
445	116686	14127
446	116960	13867
447	117243	13608
448	117505	13346
449	117782	13086
450	118046	12825
451	118321	12565
452	118579	12302
453	118837	12040
454	119093	11778
455	119379	11519
456	119628	11256
457	119901	10995
458	120166	10733
459	120426	10471
460	120688	10210
461	120951	9948
462	121218	9687
463	121483	9425
464	121751	9164
465	121998	8901
466	122256	8639
467	122530	8378
468	122828	8118
469	123130	7859
470	123461	7601
471	123731	7339
472	123991	7077
473	124251	6815
474	124371	6545
475	124631	6283
476	124909	6022
477	125164	5760
478	125422	5498
479	125707	5237
480	125979	4976
481	126246	4714
482	126502	4452
483	126765	4190
484	127024	3928
485	127281	3666
486	127553	3404
487	127818	3143
488	128102	2881
489	128384	2620
490	128657	2358
491	128931	2096
492	129204	1834
493	129488	1572
494	129756	1310
495	130001	1048
496	130261	786
497	130540	524
498	130763	262
499	131019	0
